Image_Name,Label
hCoV-19_USA_ND-NDDH-24988_2021_EPI_ISL_18252071_2021-10-31.jpeg,0
hCoV-19_Spain_CT-IrsiCaixaAF3C4_2021_EPI_ISL_18635869_2021-07-22.jpeg,0
hCoV-19_Denmark_DCGC-649200_2021_EPI_ISL_18149329_2021-10-18.jpeg,0
hCoV-19_Germany_NI-RKI-I-1140810_2021_EPI_ISL_18600139_2021-11-29.jpeg,0
hCoV-19_Italy_VEN-DMM-Unipd-medcomp_I_2_T14_2022_EPI_ISL_18541923_2022-01-03.jpeg,0
hCoV-19_Cyprus_BMV3528_2021_EPI_ISL_18479293_2021-12-04.jpeg,0
hCoV-19_Brazil_SP-HCFMB-115904_2021_EPI_ISL_18575977_2021-08-30.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-192211352-2021-1939_2021_EPI_ISL_18571637_2021-08-04.jpeg,0
hCoV-19_Germany_TH-RKI-I-1141532_2021_EPI_ISL_18661447_2021-09-22.jpeg,0
hCoV-19_Denmark_DCGC-649895_2021_EPI_ISL_18149979_2021-11-15.jpeg,0
hCoV-19_Spain_GA-EPI-CHOP-3313_2021_EPI_ISL_18625568_2021-07-02.jpeg,0
hCoV-19_USA_AR-UNM-V01162_2021_EPI_ISL_18233728_2021-08-09.jpeg,0
hCoV-19_Germany_NW-RKI-I-1140252_2021_EPI_ISL_18599632_2021-12-30.jpeg,0
hCoV-19_USA_ND-NDDH-25267_2021_EPI_ISL_18372951_2021-10-22.jpeg,0
hCoV-19_Denmark_DCGC-650175_2021_EPI_ISL_18150237_2021-12-06.jpeg,0
hCoV-19_Malaysia_IMMB_3327_2021_EPI_ISL_18315625_2021-07-26.jpeg,0
hCoV-19_Cyprus_BMV2985_2021_EPI_ISL_18478408_2021-12-03.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-217470900-4029_2022_EPI_ISL_18574474_2022-01-04.jpeg,0
hCoV-19_Kazakhstan_NLA-04-80_2021_EPI_ISL_18595431_2021-09-17.jpeg,0
hCoV-19_Spain_GA-EPI-HULA-3889_2021_EPI_ISL_18630279_2021-12-29.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-203034605-3024_2021_EPI_ISL_18573547_2021-11-03.jpeg,0
hCoV-19_Denmark_DCGC-648058_2021_EPI_ISL_18148230_2021-12-06.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-191972075-2021-1324_2021_EPI_ISL_18571130_2021-08-03.jpeg,0
hCoV-19_Brazil_DF-LACENDF_UnB-19060235_629_2021_EPI_ISL_18217776_2021-09-03.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-215870289-3872_2022_EPI_ISL_18574326_2022-01-01.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-191342060-2021-1175_2021_EPI_ISL_18571253_2021-07-29.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-189698675-2021-582_2021_EPI_ISL_18569724_2021-07-15.jpeg,0
hCoV-19_Spain_GA-EPI-CHUAC-5407_2021_EPI_ISL_18626126_2021-07-02.jpeg,0
hCoV-19_Denmark_DCGC-649080_2021_EPI_ISL_18149211_2021-10-04.jpeg,0
hCoV-19_Italy_SIC-AOUME-UOSD-GCL-190443607-2021-769_2021_EPI_ISL_18570823_2021-07-22.jpeg,0
hCoV-19_Denmark_DCGC-650382_2021_EPI_ISL_18150516_2021-11-22.jpeg,0
hCoV-19_Germany_BE-RKI-I-1141220_2021_EPI_ISL_18661183_2021-11-08.jpeg,0
hCoV-19_Germany_BW-RKI-I-1141522_2021_EPI_ISL_18661438_2021-09-27.jpeg,0
hCoV-19_Switzerland_VD-CHUV-GEN6773_2021_EPI_ISL_18660266_2021-09-01.jpeg,0
hCoV-19_Denmark_DCGC-650341_2021_EPI_ISL_18150456_2021-12-06.jpeg,0
hCoV-19_Germany_MV-RKI-I-1140378_2021_EPI_ISL_18599743_2021-12-13.jpeg,0
hCoV-19_Spain_GA-EPI-CHUVI-7105_2021_EPI_ISL_18627856_2021-07-13.jpeg,0
hCoV-19_Spain_GA-EPI-CHUO-3225_2021_EPI_ISL_18627442_2021-08-11.jpeg,0
hCoV-19_Cyprus_BMV2996_2021_EPI_ISL_18478419_2021-12-04.jpeg,0
hCoV-19_Canada_MB-CPL-673136_2021_EPI_ISL_18607859_2021-09-24.jpeg,0
hCoV-19_Denmark_DCGC-650137_2021_EPI_ISL_18150203_2021-12-06.jpeg,0
hCoV-19_Spain_GA-EPI-CHUO-3812_2021_EPI_ISL_18627501_2021-11-29.jpeg,0
hCoV-19_Denmark_DCGC-650428_2021_EPI_ISL_18150559_2021-12-06.jpeg,0
